Reptér neve,Település,Ország,Azonosító,Szélesség,Hosszúság
Chris Hadfield Airport,Sarnia,Canada,YZR,42.99940109,-82.30889893
Port Hardy Airport,Port Hardy,Canada,YZT,50.68059921,-127.3669968
Whitecourt Airport,Whitecourt,Canada,YZU,54.14390182,-115.7870026
Sept-Îles Airport,Sept-iles,Canada,YZV,50.22330093,-66.26560211
Teslin Airport,Teslin,Canada,YZW,60.17279816,-132.7429962
CFB Greenwood,Greenwood,Canada,YZX,44.9844017,-64.91690063
Faro Airport,Faro,Canada,ZFA,62.20750046,-133.3760071
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.40750122,-134.8609924
Blida Airport,Blida,Algeria,QLD,36.50360107,2.814169884
Bou Saada Airport,Bou Saada,Algeria,BUJ,35.33250046,4.206389904
Soummam Airport,Bejaja,Algeria,BJA,36.7120018,5.069920063
Houari Boumediene Airport,Algier,Algeria,ALG,36.69100189,3.215409994
Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.292801,9.45244
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.7234993,8.622650146
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.81150055,5.451079845
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.79510117,5.87361002
Mecheria Airport,Mecheria,Algeria,MZW,33.53590012,-0.242353007
Rabah Bitat Airport,Annaba,Algeria,AAE,36.822201,7.809174
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.27600098,6.620389938
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.43159866,8.12071991
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.93040085,3.311539888
Bou Chekif Airport,Tiaret,Algeria,TID,35.34109879,1.463150024
Tindouf Airport,Tindouf,Algeria,TIN,27.7003994,-8.167099953
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,36.21269989,1.331769943
Tafaraoui Airport,Oran,Algeria,TAF,35.54240036,-0.532278001
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.01670074,-1.450000048
Es Senia Airport,Oran,Algeria,ORN,35.62390137,-0.621182978
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,35.17179871,-0.593275011
Ghriss Airport,Ghriss,Algeria,MUW,35.20769882,0.147141993
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.83760071,-0.186414003
Biskra Airport,Biskra,Algeria,BSK,34.79330063,5.738230228
El Golea Airport,El Golea,Algeria,ELG,30.57130051,2.859590054
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.38410187,3.79411006
Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.67300034,6.140439987
In Salah Airport,In Salah,Algeria,INZ,27.25099945,2.512020111
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.06779861,6.088669777
Laghouat Airport,Laghouat,Algeria,LOO,33.76440048,2.928339958
Timimoun Airport,Timimoun,Algeria,TMX,29.2371006,0.276033014
Ain el Beida Airport,Ouargla,Algeria,OGX,31.91720009,5.412779808
In Aménas Airport,Zarzaitine,Algeria,IAM,28.0515,9.64291
Cadjehoun Airport,Cotonou,Benin,COO,6.357230186,2.384350061
Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.3532,-1.51242
Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.16009998,-4.33096981
Kotoka International Airport,Accra,Ghana,ACC,5.6051898,-0.166786
Tamale Airport,Tamale,Ghana,TML,9.557189941,-0.863214016
Sunyani Airport,Sunyani,Ghana,NYI,7.361830235,-2.328759909
Takoradi Airport,Takoradi,Ghana,TKD,4.89605999,-1.774760008
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.261390209,-3.926290035
Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.738800049,-5.07366991
Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.792809963,-6.473189831
Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.387180328,-5.556660175
Man Airport,Man,Cote d'Ivoire,MJC,7.272069931,-7.587359905
San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.746719837,-6.660820007
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.903170109,-5.365580082
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161,7.263169765
Akure Airport,Akure,Nigeria,AKR,7.246739864,5.301010132
Benin Airport,Benin,Nigeria,BNI,6.316979885,5.599500179
Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.976019859,8.347200394
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.474269867,7.56196022
Ibadan Airport,Ibadan,Nigeria,IBA,7.362460136,3.978329897
Ilorin International Airport,Ilorin,Nigeria,ILR,8.440210342,4.493919849
Yakubu Gowon Airport,Jos,Nigeria,JOS,9.639829636,8.869050026
Kaduna Airport,Kaduna,Nigeria,KAD,10.6960001,7.320109844
Mallam Aminu International Airport,Kano,Nigeria,KAN,12.0476,8.52462
Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.85529995,13.08090019
Makurdi Airport,Makurdi,Nigeria,MDI,7.70388,8.61394
Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.577370167,3.321160078
Minna Airport,Minna,Nigeria,MXJ,9.652170181,6.462259769
Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.015490055,6.949590206
Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.91629982,5.207190037
Yola Airport,Yola,Nigeria,YOL,9.25755024,12.43039989
Zaria Airport,Zaria,Nigeria,ZAR,11.1302,7.68581
Maradi Airport,Maradi,Niger,MFQ,13.50249958,7.126749992
Diori Hamani International Airport,Niamey,Niger,NIM,13.4815,2.18361
Tahoua Airport,Tahoua,Niger,THZ,14.8757,5.265359879
Mano Dayak International Airport,Agadez,Niger,AJY,16.9659996,8.000109673
Zinder Airport,Zinder,Niger,ZND,13.77900028,8.98375988
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.7580986,10.75469971
Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.85100174,10.22719955
Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.42200089,8.822500229
Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.87689972,10.10330009
Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.7755003
El Borma Airport,El Borma,Tunisia,EBM,31.70429993,9.254619598
Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.7179985,10.69099998
Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.93970108,8.110560417
Niamtougou International Airport,Niatougou,Togo,LRL,9.76733017,1.091249943
Lomé-Tokoin Airport,Lome,Togo,LFW,6.165609837,1.254510045
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.18939972,4.460279942
Brussels Airport,Brussels,Belgium,BRU,50.90140152,4.48443985
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459202,4.45382
Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,50.81719971,3.20472002
Liège Airport,Liege,Belgium,LGG,50.63740158,5.443220139
Ostend-Bruges International Airport,Ostend,Belgium,OST,51.19889832,2.862220049
Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,51.264702,4.75333
Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.981945,12.506389
Riesa-Göhlis Airport,Riesa,Germany,IES,51.29360962,13.35611057
Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,53.30638886,12.75222206
Schönhagen Airport,Schoenhagen,Germany,QXH,52.203609,13.156389
Barth Airport,Barth,Germany,BBH,54.338253,12.710515
"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,52.073612,11.626389
Cottbus-Drewitz Airport,Cottbus,Germany,CBU,51.889442,14.531944
Berlin-Schönefeld Airport,Berlin,Germany,SXF,52.380001,13.5225
Dresden Airport,Dresden,Germany,DRS,51.13280106,13.76720047
Erfurt Airport,Erfurt,Germany,ERF,50.97980118,10.95810032
Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556
Münster Osnabrück Airport,Munster,Germany,FMO,52.13460159,7.684830189
Hamburg Airport,Hamburg,Germany,HAM,53.63040161,9.988229752
Berlin-Tempelhof International Airport,Berlin,Germany,THF,52.47299957,13.40390015
Cologne Bonn Airport,Cologne,Germany,CGN,50.86589813,7.142739773
Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.76678
Munich Airport,Munich,Germany,MUC,48.353802,11.7861
Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.078056
Leipzig/Halle Airport,Leipzig,Germany,LEJ,51.423889,12.236389
Saarbrücken Airport,Saarbruecken,Germany,SCN,49.21459961,7.109509945
Stuttgart Airport,Stuttgart,Germany,STR,48.68989944,9.221960068
Berlin-Tegel Airport,Berlin,Germany,TXL,52.5597,13.2877
Hannover Airport,Hannover,Germany,HAJ,52.46110153,9.685079575
Bremen Airport,Bremen,Germany,BRE,53.04750061,8.786669731
Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,49.959999,8.645833
Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.9487,7.26389
Mannheim-City Airport,Mannheim,Germany,MHG,49.473057,8.514167
Eisenach-Kindel Airport,Eisenach,Germany,EIB,50.991604,10.47973
Siegerland Airport,Siegerland,Germany,SGE,50.70769882,8.082969666
Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,53.53527832,9.83555603
Kiel-Holtenau Airport,Kiel,Germany,KEL,54.37944412,10.14527798
Lübeck Blankensee Airport,Luebeck,Germany,LBC,53.80540085,10.71920013
Essen Mulheim Airport,Essen,Germany,ESS,51.40230179,6.937329769
Bielefeld Airport,Bielefeld,Germany,BFE,51.964722,8.544444
Mönchengladbach Airport,Moenchengladbach,Germany,MGL,51.230278,6.504444
Paderborn Lippstadt Airport,Paderborn,Germany,PAD,51.61410141,8.616319656
Dortmund Airport,Dortmund,Germany,DTM,51.5182991,7.612239838
Augsburg Airport,Augsburg,Germany,AGB,48.425278,10.931667
Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF,48.081402,11.2831
Straubing Airport,Straubing,Germany,RBM,48.90083313,12.51666737
Friedrichshafen Airport,Friedrichshafen,Germany,FDH,47.67129898,9.511489868
Schwerin Parchim Airport,Parchim,Germany,SZW,53.426998,11.7834
Bayreuth Airport,Bayreuth,Germany,BYU,49.985001,11.64
Burg Feuerstein Airport,Burg Feuerstein,Germany,URD,49.79416656,11.13361073
Hof-Plauen Airport,Hof,Germany,HOQ,50.28861237,11.85638905
Zweibrücken Airport,Zweibruecken,Germany,ZQW,49.2094,7.40056
Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL,47.97333145,8.522221565
Braunschweig-Wolfsburg Airport,Braunschweig,Germany,BWE,52.319199,10.5561
Kassel-Calden Airport,Kassel,Germany,KSF,51.417273,9.384967
Bremerhaven Airport,Bremerhaven,Germany,BRV,53.506943,8.572778
Emden Airport,Emden,Germany,EME,53.391109,7.2275
Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,WVN,53.50222015,8.052222252
Borkum Airport,Borkum,Germany,BMK,53.59639,6.709167
Norderney Airport,Norderney,Germany,NRD,53.70694351,7.230000019
Flensburg-Schäferhaus Airport,Flensburg,Germany,FLF,54.7733345,9.378889084
Westerland Sylt Airport,Westerland,Germany,GWT,54.91320038,8.340470314
Kärdla Airport,Kardla,Estonia,KDL,58.99079895,22.83069992
Kuressaare Airport,Kuressaare,Estonia,URE,58.22990036,22.5095005
Pärnu Airport,Parnu,Estonia,EPU,58.41899872,24.4727993
Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL,59.41329956,24.83279991
Tartu Airport,Tartu,Estonia,TAY,58.30749893,26.69039917
Enontekio Airport,Enontekio,Finland,ENF,68.36260223,23.42429924
Halli Airport,Halli,Finland,KEV,61.856039,24.786686
Helsinki Malmi Airport,Helsinki,Finland,HEM,60.25460052,25.0428009
Helsinki Vantaa Airport,Helsinki,Finland,HEL,60.31719971,24.9633007
Hyvinkää Airfield,Hyvinkaa,Finland,HYV,60.65439987,24.8810997
Kitee Airport,Kitee,Finland,KTQ,62.1661,30.073601
Ivalo Airport,Ivalo,Finland,IVL,68.6072998,27.40530014
Joensuu Airport,Joensuu,Finland,JOE,62.66289902,29.60750008
Jyvaskyla Airport,Jyvaskyla,Finland,JYV,62.3995018,25.67830086
Kauhava Airport,Kauhava,Finland,KAU,63.127102,23.051399
Kemi-Tornio Airport,Kemi,Finland,KEM,65.77870178,24.58209991
Kajaani Airport,Kajaani,Finland,KAJ,64.28549957,27.69239998
